"theta.1-1" "theta.2-1" "theta.3-1" "theta.1-2" "theta.2-2" "theta.3-2" "theta.1-3" "theta.2-3" "theta.3-3" "theta.1-4" "theta.2-4" "theta.3-4" "theta.1-5" "theta.2-5" "theta.3-5" "theta.1-6" "theta.2-6" "theta.3-6" "theta.1-7" "theta.2-7" "theta.3-7" "theta.1-8" "theta.2-8" "theta.3-8" "theta.1-9" "theta.2-9" "theta.3-9" "theta.1-10" "theta.2-10" "theta.3-10" "theta.1-11" "theta.2-11" "theta.3-11" "theta.1-12" "theta.2-12" "theta.3-12" "p.1" "p.2" "p.3"
"22" 1.055713e-05 0.001009707 0.09404549 0.0001415398 0.000222563 0.8654109 0.0004657096 0.0005334383 0.02281536 0.0005488349 0.9995266 0.001114188 0.9982379 0.0001032098 0.001633641 0.3506963 0.3940228 0.3801801 0.5277206 0.4865232 0.4818325 0.8797301 0.745307 0.6974956 0.1789549 0.1182439 0.1204343 0.1063365 0.06444395 0.03922242 0.530125 0.4620862 0.4654845 0.07321106 0.05598771 0.02416924 0.1921903 0.6360069 0.1718028
"23" 0.002118336 0.0001057022 0.1180148 0.0001088603 3.631816e-05 0.8499888 0.001575174 0.0002743595 0.02340105 0.001401967 0.999726 0.004112778 0.9960741 0.0009813317 0.0001724203 0.3491929 0.4043281 0.4053651 0.5227545 0.5140205 0.519731 0.8897803 0.7407741 0.6756191 0.202713 0.1146057 0.1231853 0.08146462 0.0563057 0.05205102 0.4691596 0.4665392 0.4521379 0.07782443 0.04535316 0.03353802 0.1760395 0.6475943 0.1763662
"24" 0.001137507 0.0003575278 0.1143077 0.001288064 0.0008058225 0.8602578 0.0005918224 1.418598e-05 0.03330826 0.003895736 0.9979852 0.0004347536 0.9967242 0.0004031746 0.0003110714 0.3847401 0.415529 0.4117932 0.508123 0.5008987 0.5284355 0.8931486 0.7506492 0.7147268 0.1863109 0.1150975 0.1389073 0.09630658 0.06527949 0.04954882 0.5204767 0.458591 0.4507769 0.07130821 0.0517296 0.05297294 0.1791766 0.6431179 0.1777055
"25" 0.001489008 0.0003565381 0.1213869 0.001855735 0.0004063396 0.8559505 0.001980575 0.0002762702 0.03105738 0.0006765268 0.9994196 0.0001661769 0.9989317 0.0005125662 2.771841e-05 0.338239 0.4015786 0.3850265 0.5262991 0.4960475 0.5399564 0.8692971 0.7217924 0.7069855 0.1898332 0.1109183 0.08623773 0.081777 0.05788628 0.04561795 0.5084733 0.4844628 0.4087181 0.08831585 0.05858433 0.03400725 0.1812374 0.6489279 0.1698348
"26" 0.00124658 0.0004867677 0.1144658 0.001793654 0.0001711592 0.8610974 0.003280748 0.0001962162 0.03139144 0.0002916114 0.9991224 0.0008560445 0.9999644 0.0002926261 0.0003061124 0.4126707 0.4042244 0.4249342 0.5372387 0.4891374 0.5502311 0.8866553 0.7258002 0.6943667 0.2128328 0.1022416 0.1051571 0.08727097 0.06090762 0.0604633 0.4887967 0.4850428 0.4474096 0.08270423 0.06024377 0.04312719 0.1900764 0.6368869 0.1730367
"27" 0.0006989082 9.833252e-05 0.09164324 0.00490035 0.000187429 0.8683931 0.0001738914 0.0001300463 0.02414422 0.003737116 0.9995075 0.001848299 0.9994925 0.0001812186 0.001631575 0.340344 0.3829068 0.4044046 0.5244041 0.4939322 0.5079262 0.8848762 0.7242262 0.7181726 0.1895924 0.1087065 0.1082089 0.1066089 0.06395438 0.04160441 0.5318653 0.4664934 0.4226167 0.07632235 0.05576911 0.03194207 0.1937529 0.6286479 0.1775993
"28" 0.0004801224 0.0003312181 0.1039618 0.002082203 0.0002699911 0.8459333 0.0005102869 0.001077231 0.02457523 0.000126131 0.9999666 0.001211944 0.9998212 9.823988e-05 0.0001848456 0.4160204 0.4077004 0.4190423 0.5261901 0.4951344 0.5121296 0.8940783 0.7444937 0.7329119 0.1721664 0.114504 0.09781695 0.07649849 0.06389788 0.0453597 0.5161535 0.4588884 0.4105109 0.07473138 0.05731555 0.04102385 0.1958876 0.6396303 0.1644821
"29" 0.003262458 0.001210045 0.130096 0.001225812 7.697823e-05 0.8603867 0.0001198246 0.0003634076 0.02404319 4.421252e-05 0.9996219 0.002053753 0.9994134 0.0002194054 0.002721918 0.3608725 0.3837836 0.3841965 0.5313382 0.5120769 0.5575275 0.8746617 0.74357 0.6992366 0.205507 0.1145675 0.116991 0.09295971 0.05487322 0.03714034 0.4542627 0.4756192 0.4352329 0.1024849 0.04901287 0.05017007 0.1746801 0.646118 0.1792019
"30" 5.176881e-05 5.313794e-05 0.1003669 0.001920304 0.0004077293 0.8611432 0.0009773039 0.0004170668 0.0243214 0.00206713 0.9989065 0.001588442 0.9978263 0.0002559111 0.0003928622 0.3807703 0.3939637 0.3911575 0.5366752 0.5137467 0.5499356 0.8586567 0.732187 0.7008147 0.1639321 0.09878943 0.09785233 0.1125483 0.05210575 0.04681132 0.4894495 0.4848697 0.4450238 0.08916255 0.05504329 0.04659486 0.1899859 0.634877 0.1751371
"31" 0.005108622 0.0008732101 0.1205259 0.002373259 0.0002445136 0.8756944 0.00179822 0.0002955495 0.02118799 0.0003605212 0.9994765 0.0008667219 0.9998761 0.0001479839 0.006655766 0.3656396 0.3994016 0.4172641 0.5276875 0.4976211 0.4858062 0.8873882 0.7408726 0.7042464 0.1937977 0.1164407 0.1108385 0.08074127 0.0536216 0.05292217 0.4918775 0.4702329 0.4535282 0.09091273 0.05177596 0.03057481 0.1848124 0.6334499 0.1817377
"32" 0.00191151 6.908338e-05 0.1141257 0.002067155 3.345507e-05 0.8824086 0.002046479 0.0001041666 0.03158747 0.003343374 0.9996235 0.0007461125 0.9980993 4.834274e-05 0.0007020892 0.3673187 0.4016836 0.4059167 0.5196837 0.4939184 0.531473 0.875438 0.741459 0.7285927 0.1868374 0.1086284 0.1022576 0.08834466 0.06177322 0.04727086 0.5301327 0.4741075 0.4015611 0.06285323 0.05760679 0.04239429 0.1741698 0.6668747 0.1589555
"33" 0.004306263 0.0003181341 0.1069788 0.006210158 0.0001044143 0.860059 0.001945745 0.0001435146 0.02946227 0.0007635916 0.9994534 0.00130294 0.9990706 0.0003818891 0.005281395 0.3583282 0.3955814 0.4341872 0.5355126 0.5103598 0.5614927 0.8805738 0.7396055 0.7048937 0.1707819 0.09694245 0.1347273 0.09371697 0.06195363 0.04913406 0.4776901 0.465535 0.4324444 0.0976068 0.04719507 0.02779118 0.1870222 0.6329498 0.180028
