"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.455" 6 6 6
"z.456" 2 2 2
"z.457" 2 2 2
"z.458" 2 2 2
"z.459" 2 2 2
"z.460" 2 2 2
"z.461" 3 3 3
"z.462" 2 2 2
"z.463" 4 4 4
"z.464" 6 6 6
"z.465" 6 6 6
"z.466" 3 3 3
"z.467" 3 3 3
"z.468" 2 2 2
"z.469" 6 6 6
"z.470" 2 2 2
"z.471" 4 4 4
"z.472" 2 2 2
"z.473" 3 3 3
"z.474" 2 2 2
"z.475" 5 5 5
"z.476" 2 2 2
"z.477" 3 3 3
"z.478" 3 3 3
"z.479" 3 3 3
"z.480" 2 2 2
"z.481" 2 2 2
"z.482" 6 6 6
"z.483" 3 3 3
"z.484" 3 3 3
"z.485" 2 2 2
"z.486" 2 2 2
"z.487" 4 4 4
"z.488" 2 2 2
"z.489" 3 3 3
"z.490" 3 3 3
"z.491" 3 3 3
"z.492" 2 2 2
"z.493" 2 2 2
"z.494" 6 6 6
"z.495" 3 3 3
"z.496" 2 2 2
"z.497" 3 3 3
"z.498" 4 4 4
"z.499" 2 2 2
"z.500" 6 6 6
"z.501" 5 5 5
"z.502" 6 6 6
"z.503" 2 2 2
"z.504" 2 2 2
"z.505" 2 2 2
"z.506" 6 6 6
"z.507" 2 2 2
"z.508" 2 2 2
"z.509" 2 2 2
"z.510" 2 2 2
"z.511" 4 4 4
"z.512" 4 4 4
"z.513" 3 3 3
"z.514" 2 2 2
"z.515" 5 5 5
"z.516" 2 2 2
"z.517" 2 2 2
"z.518" 2 2 2
"z.519" 2 2 2
"z.520" 2 2 2
"z.521" 2 2 2
"z.522" 2 2 2
"z.523" 2 2 2
"z.524" 2 2 2
"z.525" 6 6 6
"z.526" 2 2 2
"z.527" 2 2 2
"z.528" 2 2 2
"z.529" 3 3 3
"z.530" 2 2 2
"z.531" 4 4 4
"z.532" 2 2 2
"z.533" 2 2 2
"z.534" 2 2 2
"z.535" 2 2 2
"z.536" 3 3 3
"z.537" 2 2 2
"z.538" 2 2 2
"z.539" 2 2 2
"z.540" 3 3 3
"z.541" 2 2 2
"z.542" 2 2 2
"z.543" 6 6 6
"z.544" 2 2 2
"z.545" 2 2 2
"z.546" 3 3 3
"z.547" 2 2 2
"z.548" 2 2 2
"z.549" 2 2 2
"z.550" 2 2 2
"z.551" 2 2 2
"z.552" 2 2 2
"z.553" 2 2 2
"z.554" 4 4 4
"z.555" 4 4 4
"z.556" 2 2 2
"z.557" 6 6 6
"z.558" 3 3 3
"z.559" 6 6 6
"z.560" 4 4 4
"z.561" 2 2 2
"z.562" 6 6 6
"z.563" 2 2 2
"z.564" 2 2 2
"z.565" 2 2 2
"z.566" 2 2 2
"z.567" 2 2 2
"z.568" 2 2 2
"z.569" 2 2 2
"z.570" 2 2 2
"z.571" 2 2 2
"z.572" 2 2 2
"z.573" 6 6 6
"z.574" 2 2 2
"z.575" 6 6 6
"z.576" 2 2 2
"z.577" 2 2 2
"z.578" 2 2 2
"z.579" 2 2 2
"z.580" 2 2 2
"z.581" 3 3 3
"z.582" 2 2 2
"z.583" 4 4 4
"z.584" 2 2 2
"z.585" 4 4 4
"z.586" 2 2 2
"z.587" 2 2 2
"z.588" 2 2 2
"z.589" 2 2 2
"z.590" 2 2 2
"z.591" 6 6 6
"z.592" 2 2 2
"z.593" 2 2 2
"z.594" 2 2 2
"z.595" 2 2 2
"z.596" 2 2 2
"z.597" 3 3 3
"z.598" 2 2 2
"z.599" 2 2 2
"z.600" 6 6 6
"z.601" 2 2 2
"z.602" 2 2 2
"z.603" 2 2 2
"z.604" 6 6 6
"z.605" 6 6 6
"z.606" 6 6 6
"z.607" 6 6 6
"z.608" 2 2 2
"z.609" 6 6 6
"z.610" 6 6 6
"z.611" 6 6 6
"z.612" 6 6 6
"z.613" 6 6 6
"z.614" 4 4 4
"z.615" 6 6 6
"z.616" 6 6 6
"z.617" 2 2 2
"z.618" 2 2 2
"z.619" 6 6 6
"z.620" 2 2 2
"z.621" 6 6 6
"z.622" 2 2 2
"z.623" 2 2 2
"z.624" 6 6 6
"z.625" 2 2 2
"z.626" 3 3 3
"z.627" 2 2 2
"z.628" 6 6 6
"z.629" 2 2 2
"z.630" 3 3 3
"z.631" 2 2 2
"z.632" 2 2 2
"z.633" 2 2 2
"z.634" 3 3 3
"z.635" 2 2 2
"z.636" 2 2 2
"z.637" 2 2 2
"z.638" 2 2 2
"z.639" 2 2 2
"z.640" 2 2 2
"z.641" 2 2 2
"z.642" 2 2 2
"z.643" 3 3 3
"z.644" 2 2 2
"z.645" 2 2 2
"z.646" 4 4 4
"z.647" 2 2 2
"z.648" 2 2 2
"z.649" 6 6 6
"z.650" 2 2 2
"z.651" 2 2 2
"z.652" 2 2 2
"z.653" 2 2 2
"z.654" 2 2 2
"z.655" 2 2 2
"z.656" 3 3 3
"z.657" 6 6 6
"z.658" 6 6 6
"z.659" 4 4 4
"z.660" 2 2 2
"z.661" 2 2 2
"z.662" 3 3 3
"z.663" 1 1 1
"z.664" 2 2 2
"z.665" 4 4 4
"z.666" 3 3 3
"z.667" 3 3 3
"z.668" 2 2 2
"z.669" 2 2 2
"z.670" 3 3 3
"z.671" 2 2 2
"z.672" 2 2 2
"z.673" 2 2 2
"z.674" 4 4 4
"z.675" 2 2 2
"z.676" 6 6 6
"z.677" 2 2 2
"z.678" 2 2 2
"z.679" 2 2 2
"z.680" 2 2 2
"z.681" 2 2 2
"z.682" 2 2 2
"z.683" 2 2 2
"z.684" 2 2 2
"z.685" 2 2 2
"z.686" 2 2 2
"z.687" 3 3 3
"z.688" 6 6 6
"z.689" 3 3 3
"z.690" 2 2 2
"z.691" 2 2 2
"z.692" 3 3 3
"z.693" 3 3 3
"z.694" 2 2 2
"z.695" 6 6 6
"z.696" 3 3 3
"z.697" 3 3 3
"z.698" 2 2 2
